customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
cust0000,male,0,no,yes,23,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer,49.85,1146.55,no
cust0001,female,0,yes,no,43,no,no phone service,dsl,yes,no,yes,no,yes,no,month-to-month,no,mailed check,100.7,4330.1,yes
cust0002,male,1,no,no,51,yes,no,dsl,no,yes,yes,yes,no,no,one year,no,electronic check,97.33,4963.83,yes
cust0003,male,1,no,no,72,yes,yes,dsl,yes,no,yes,no,no,no,month-to-month,no,credit card,101.38,7299.36,no
cust0004,male,1,no,no,25,yes,yes,dsl,no,no,no,yes,no,yes,month-to-month,no,electronic check,52.22,1305.5,yes
cust0005,female,0,yes,no,35,yes,no,dsl,no,no,no,yes,yes,yes,one year,no,credit card,116.96,4093.6,no
cust0006,male,0,yes,no,17,no,no phone service,dsl,no,no,no,yes,no,yes,one year,yes,bank transfer,91.53,1556.01,yes
cust0007,male,0,yes,yes,18,yes,no,dsl,no,yes,yes,yes,no,yes,one year,no,mailed check,26.52,477.36,yes
cust0008,male,0,no,no,27,no,no phone service,dsl,yes,no,no,yes,no,no,one year,no,mailed check,67.77,1829.79,yes
cust0009,female,0,no,no,15,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,electronic check,86.45,1296.75,yes
cust0010,male,1,yes,no,69,yes,yes,fiber optic,yes,no,yes,yes,no,yes,month-to-month,no,electronic check,36.87,2544.03,yes
cust0011,male,0,yes,no,15,yes,no,dsl,no,no,yes,yes,yes,yes,two year,yes,bank transfer,110.18,1652.7,no
cust0012,male,0,no,yes,42,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,95.41,4007.22,no
cust0013,male,0,no,no,34,yes,yes,dsl,no,yes,no,no,no,yes,two year,yes,credit card,28.14,956.76,no
cust0014,female,0,yes,yes,48,yes,yes,dsl,no,no,no,no,yes,no,month-to-month,yes,bank transfer,111.32,5343.36,yes
cust0015,male,0,no,yes,8,no,no phone service,fiber optic,no,no,yes,no,yes,yes,one year,yes,bank transfer,60.44,483.52,yes
cust0016,female,1,no,no,10,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,bank transfer,65.25,652.5,no
cust0017,female,0,no,no,5,no,no phone service,dsl,no,yes,yes,no,yes,yes,two year,yes,mailed check,98.31,491.55,no
cust0018,female,0,no,yes,48,yes,no,fiber optic,no,no,no,yes,yes,yes,two year,yes,electronic check,84.4,4051.2,yes
cust0019,male,0,no,yes,26,no,no phone service,fiber optic,no,no,no,yes,no,yes,two year,no,mailed check,63.75,1657.5,yes
cust0020,female,1,no,no,23,no,no phone service,dsl,no,yes,yes,yes,yes,yes,two year,yes,credit card,45.96,1057.08,no
cust0021,male,1,no,yes,62,no,no phone service,dsl,yes,yes,no,no,yes,yes,one year,no,mailed check,71.69,4444.78,no
cust0022,female,1,yes,no,13,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,77.92,1012.96,yes
cust0023,female,0,yes,no,9,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,83.09,747.81,yes
cust0024,female,1,no,yes,20,yes,yes,dsl,yes,no,no,yes,no,yes,two year,no,credit card,80.51,1610.2,yes
cust0025,female,0,no,no,57,no,no phone service,dsl,no,no,no,no,no,no,two year,no,mailed check,81.73,4658.61,yes
cust0026,female,0,no,no,24,no,no phone service,fiber optic,no,yes,no,no,yes,yes,month-to-month,no,credit card,67.57,1621.68,no
cust0027,female,1,yes,no,33,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,76.19,2514.27,no
cust0028,female,0,yes,yes,20,yes,yes,dsl,yes,yes,yes,no,no,yes,month-to-month,yes,bank transfer,48.86,977.2,yes
cust0029,female,0,no,yes,60,no,no phone service,dsl,no,yes,no,no,yes,no,month-to-month,yes,bank transfer,35.84,2150.4,yes
cust0030,male,0,yes,yes,48,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,80.69,3873.12,no
cust0031,male,1,no,no,64,yes,yes,dsl,yes,yes,yes,no,no,yes,two year,no,bank transfer,24.7,1580.8,no
cust0032,female,0,no,yes,30,yes,no,fiber optic,yes,yes,no,no,no,yes,two year,no,bank transfer,26.52,795.6,yes
cust0033,female,0,no,yes,17,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,no,electronic check,44.73,760.41,no
cust0034,female,1,no,yes,14,no,no phone service,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed check,39.43,552.02,no
cust0035,male,0,no,no,19,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,57.41,1090.79,no
cust0036,female,0,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,month-to-month,no,bank transfer,57.13,4056.23,no
cust0037,male,1,no,yes,59,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,31.69,1869.71,no
cust0038,male,0,yes,yes,67,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,mailed check,44.65,2991.55,yes
cust0039,male,0,no,yes,44,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.46,900.24,yes
cust0040,male,0,yes,no,32,yes,yes,fiber optic,no,no,no,yes,no,yes,one year,no,mailed check,55.1,1763.2,yes
cust0041,male,0,no,yes,11,no,no phone service,fiber optic,no,yes,yes,yes,no,yes,two year,yes,bank transfer,99.64,1096.04,no
cust0042,female,0,no,no,2,yes,yes,dsl,yes,yes,yes,no,yes,yes,month-to-month,yes,electronic check,46.62,93.24,yes
cust0043,female,1,yes,no,68,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,bank transfer,84.33,5734.44,yes
cust0044,female,1,yes,no,17,no,no phone service,fiber optic,no,no,yes,no,yes,no,month-to-month,no,electronic check,29.83,507.11,no
cust0045,female,1,no,yes,40,no,no phone service,fiber optic,yes,no,yes,yes,no,yes,two year,yes,mailed check,21.23,849.2,yes
cust0046,female,1,yes,yes,46,no,no phone service,dsl,no,yes,no,yes,yes,yes,two year,yes,credit card,69.84,3212.64,no
cust0047,male,0,no,no,4,no,no phone service,fiber optic,no,no,no,yes,yes,no,two year,no,mailed check,66.15,264.6,yes
cust0048,female,0,no,no,38,no,no phone service,fiber optic,yes,no,yes,yes,no,yes,month-to-month,yes,mailed check,39.15,1487.7,no
cust0049,female,0,yes,no,63,no,no phone service,fiber optic,yes,no,no,no,yes,no,one year,yes,credit card,48.66,3065.58,yes
cust0050,male,0,yes,no,29,no,no phone service,dsl,yes,yes,yes,no,yes,no,one year,no,mailed check,23.07,669.03,yes
cust0051,female,0,yes,yes,19,yes,no,dsl,yes,no,no,yes,no,yes,two year,yes,mailed check,99.78,1895.82,no
cust0052,male,1,yes,yes,29,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,50.13,1453.77,yes
cust0053,female,1,no,no,35,yes,no,fiber optic,yes,yes,yes,no,yes,no,two year,no,mailed check,41.95,1468.25,no
cust0054,male,0,yes,no,70,yes,yes,dsl,yes,yes,no,yes,yes,no,one year,yes,mailed check,100.47,7032.9,yes
cust0055,female,0,yes,no,23,yes,no,dsl,yes,no,yes,no,yes,yes,one year,yes,electronic check,23.93,550.39,yes
cust0056,female,0,yes,yes,46,no,no phone service,dsl,yes,yes,no,no,yes,yes,two year,no,bank transfer,48.45,2228.7,yes
cust0057,male,1,yes,no,44,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,46.28,2036.32,no
cust0058,male,0,yes,yes,48,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,46.3,2222.4,yes
cust0059,male,0,no,no,52,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,mailed check,21.15,1099.8,yes
cust0060,male,0,no,yes,8,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,electronic check,113.47,907.76,yes
cust0061,male,1,yes,yes,55,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,mailed check,106.41,5852.55,yes
cust0062,male,0,yes,no,66,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,bank transfer,61.45,4055.7,yes
cust0063,male,1,no,yes,40,no,no phone service,fiber optic,no,no,no,yes,no,no,one year,no,credit card,64.54,2581.6,no
cust0064,male,1,yes,yes,31,yes,yes,dsl,no,no,no,yes,no,no,two year,no,electronic check,72.42,2245.02,no
cust0065,female,1,no,yes,48,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,67.83,3255.84,yes
cust0066,female,1,no,yes,61,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,electronic check,97.91,5972.51,yes
cust0067,male,1,yes,no,52,yes,no,dsl,no,yes,yes,yes,yes,no,one year,yes,mailed check,68.84,3579.68,no
cust0068,female,1,no,no,38,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,month-to-month,no,electronic check,38.88,1477.44,no
cust0069,female,0,yes,no,36,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,mailed check,31.7,1141.2,yes
cust0070,female,0,yes,no,55,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card,111.83,6150.65,yes
cust0071,female,0,no,no,13,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,yes,credit card,24.84,322.92,no
cust0072,male,1,no,yes,37,no,no phone service,fiber optic,yes,no,no,yes,no,no,month-to-month,no,bank transfer,109.76,4061.12,no
cust0073,female,0,yes,yes,47,no,no phone service,fiber optic,no,no,yes,yes,no,yes,two year,yes,bank transfer,89.05,4185.35,no
cust0074,male,1,no,yes,71,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,electronic check,60.47,4293.37,no
cust0075,female,1,yes,yes,22,no,no phone service,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,yes,electronic check,38.72,851.84,no
cust0076,female,1,no,no,39,no,no phone service,dsl,yes,no,yes,no,no,yes,two year,no,mailed check,51.05,1990.95,no
cust0077,female,0,no,no,58,no,no phone service,dsl,no,no,yes,yes,no,no,two year,yes,credit card,72.99,4233.42,yes
cust0078,male,1,yes,yes,30,no,no phone service,fiber optic,yes,no,yes,no,yes,no,one year,yes,credit card,85.69,2570.7,no
cust0079,female,1,yes,no,18,no,no phone service,dsl,yes,no,yes,yes,yes,no,one year,yes,electronic check,89.15,1604.7,no
cust0080,male,0,yes,yes,18,yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,yes,credit card,64.73,1165.14,no
cust0081,female,0,no,yes,39,no,no phone service,fiber optic,no,yes,yes,yes,yes,yes,one year,no,bank transfer,57.4,2238.6,yes
cust0082,male,1,yes,no,26,no,no phone service,dsl,no,yes,yes,no,yes,yes,one year,yes,electronic check,96.83,2517.58,yes
